"docketId","docketType","lastModifiedDate","agencyId","title","objectId"
"EPA-R05-OAR-2008-0398","Rulemaking","2011-06-12T21:21:50Z","EPA","Central Indiana PM 2.5 Attainment Demonstration","0b00006480549005"
"EPA-R05-OAR-2007-0025","Rulemaking","2011-06-12T21:21:50Z","EPA","Columbus, Ohio 8-hour Ozone Redesignation and Maintenance Plan","0b000064801f3db3"
"EPA-R05-OAR-2006-0891","Rulemaking","2011-06-12T21:21:50Z","EPA","Jefferson County (Steubenville-Weirton, OH-WV), Ohio 8-hour Ozone Redesignation and Maintenance Plan","0b000064801d913e"
"EPA-R05-OAR-2007-0138","Rulemaking","2011-06-12T21:21:50Z","EPA","Illinois Revised Air Permitting Rules","0b000064801fc97d"
"EPA-R05-OAR-2007-0376","Rulemaking","2011-06-12T21:21:51Z","EPA","Illinois CAIR Submittal","0b0000648022f2bc"
"EPA-R05-OAR-2007-0631","Rulemaking","2011-06-12T21:21:52Z","EPA","Michigan Recordkeeping and Reporting for Abnormal Conditions (R336.1912)","0b00006480269255"
"EPA-R05-OAR-2007-0957","Rulemaking","2011-06-12T21:21:53Z","EPA","Kewaunee and Manitowoc Counties, Wisconsin 8-hour Ozone Redesignation","0b000064802850e7"
"EPA-R05-OAR-2007-0717","Rulemaking","2011-06-12T21:21:53Z","EPA","Wisconsin Construction Permit Waiver rule","0b000064802716a8"
"EPA-R06-OAR-2007-0905","Rulemaking","2011-06-12T21:21:53Z","EPA","TX072 Texas Revisions to 30 TAC Chapter 101, General Air Quality Rules, RE: Update  Cross-references to New 30 TAC Chapter 117 and Minor Revisions and Corrections, submitted to EPA August 16, 2007 (TX-252, G-84)","0b00006480279840"
"EPA-R06-OAR-2008-0089","Rulemaking","2011-06-12T21:21:55Z","EPA","TX077 Texas Revisions to 30 TAC Chapter 116, Control of Air Pollution by Permits for New Construction or Modification, submitted to EPA to September 25, 2003 (TX-170, 6-64); Revisions to Section 116.115, General and Special Conditions, and Section 116.120, Voiding of Permits.","0b000064803a48c1"
"EPA-R05-OAR-2009-0513","Rulemaking","2011-06-12T21:21:59Z","EPA","Indiana Automobile Refinishing Operations, 326 IAC 8-10","0b000064809ec33c"
"EPA-R05-OAR-2009-0808","Rulemaking","2011-06-12T21:22:02Z","EPA","Marathon Petroleum Minnesota SO2 revision","0b00006480a41c4d"
"EPA-R05-OAR-2009-0928","Rulemaking","2011-06-12T21:22:02Z","EPA","Cincinnati, Ohio 8-hour Ozone Redesignation","0b00006480a66ee7"
"EPA-R05-OAR-2009-0964","Rulemaking","2011-06-12T21:22:02Z","EPA","Illinois NOx Trading Program Sunset Provisions for EGUs (35 Ill. Adm. Code 217.751)","0b00006480a6c15b"
"EPA-R05-OAR-2009-0220","Rulemaking","2011-06-12T21:22:04Z","EPA","Columbus, Ohio 8-hour Ozone Redesignation","0b0000648091b390"
"EPA-R06-OAR-2005-TX-0031","Rulemaking","2011-06-12T21:22:06Z","EPA","TX037 Texas Revisions to 30 TAC Chapter 116 RE Permitting of Grandfathered and Electric Generating Facilities, submitted to EPA January 3, 2000 (TX-124, G-63, 6-53) and July 31, 2002 (TX-153, 6-58)","0b000064800a7527"
"EPA-R09-OAR-2011-0169","Rulemaking","2011-06-12T21:22:07Z","EPA","Clark County, Nevada Determination of Attainment (1997 8-Hour Ozone NAAQS); Direct Final AND Proposed Rule","0b00006480bee704"
"EPA-R05-OAR-2010-0999","Rulemaking","2011-06-12T21:22:07Z","EPA","Indiana 2009 Annual CFR Update and VOC definition exclusions","0b00006480baa8dd"
"EPA-R06-OAR-2005-TX-0014","Rulemaking","2011-06-12T21:27:48Z","EPA","TX020 Texas Chapter 115 Revisions to Regulations to Control Volatile Organic Compound Emissions for Facilities in the Dallas/Fort Worth Ozone Nonattainment Area, 5-70, 5-71, 5-73, 5-74, 5-81, 5-82.","0b000064800a824e"
"EPA-R06-OAR-2005-TX-0033","Rulemaking","2011-06-12T21:27:48Z","EPA","TX039 Texas G.H.6. Highly-Reactive Volatile Organic Compound (HRVOC) Emissions Cap and Trade (HECT) Rules, §§101.390 to 101.403.","0b000064800a7444"
"EPA-R08-OAR-2004-UT-0002","Rulemaking","2011-06-12T21:27:48Z","EPA","Approval and Promulgation of Air Quality Implementation Plans; Utah; Revisions to New Source Review Rules","0b000064800a8164"
"EPA-R05-OAR-2004-OH-0003","Rulemaking","2011-06-12T21:27:49Z","EPA","Revised NOx Regulations and Revised NOx Trading Rule","0b000064800a7762"
"EPA-R05-OAR-2004-MI-0001","Rulemaking","2011-06-12T21:27:49Z","EPA","Michigan: Miscellaneous Rule Revisions","0b000064800a7919"
"EPA-R05-OAR-2004-IN-0004","Rulemaking","2011-06-12T21:27:50Z","EPA","Revised VOC Emissions Limits for Eli Lilly and Company in Marion County, Indiana","0b000064800a7a23"
"EPA-R06-OAR-2005-TX-0020","Rulemaking","2011-06-12T21:27:51Z","EPA","TX026 Texas, Low-Emission Diesel Fuel Program","0b000064800a7d24"
"EPA-R06-OAR-2006-0133","Rulemaking","2011-06-12T21:28:01Z","EPA","TX045 Texas Revisions to 30 TAC Chapters 101 and 116, RE: New Source Review for Eight-Hour Ozone Standard and for Federal New Source Review Permit Rules Reform, submitted to EPA June 10, 2005 (TX-111, G-78, 6-67) and February 1, 2006 (TX-216, 6-68)","0b0000648012f83c"
"EPA-R06-OAR-2006-0456","Rulemaking","2011-06-12T21:28:02Z","EPA","LA010 Louisiana Low Enhanced Vehicle Inspection and Maintenance (I/M) Program, submitted to EPA May 5, 2006 (LA-82).","0b0000648016f7e1"
"EPA-R08-OAR-2006-0564","Rulemaking","2011-06-12T21:28:02Z","EPA","Approval and Promulgation of Air Quality Implementation Plans; State of Utah, Continuous Emission Monitoring Program","0b0000648018d097"
"EPA-R05-OAR-2007-0001","Rulemaking","2011-06-12T21:28:03Z","EPA","Toledo (Lucas and Wood Counties), Ohio 8-hour Ozone Redesignation and Maintenance Plan","0b000064801f1e89"
"EPA-R05-OAR-2006-0716","Rulemaking","2011-06-12T21:28:03Z","EPA","Indiana VOC Exemption for Sources Subject to the Boat Manufacturing or Reinforced Plastics Composites Manufacturing NESHAPs","0b000064801b8514"
"EPA-R05-OAR-2006-1023","Rulemaking","2011-06-12T21:28:03Z","EPA","Minnesota PM10 revision for Lafarge North America's Childs Road facility in Ramsey County","0b000064801eff2c"
"EPA-R05-OAR-2006-1022","Rulemaking","2011-06-12T21:28:03Z","EPA","Youngstown Ohio 8-hour Ozone Redesignation and Maintenance Plan","0b000064801eff20"
"EPA-R06-OAR-2007-0209","Rulemaking","2011-06-12T21:28:04Z","EPA","TX056 Texas Revisions to 30 TAC Chapters 39, 55, and 116 Concerning Public Participation (HB 801, SB 1308), Submitted to EPA December 15, 1995 (6-39); July 22, 1998 (TX-104, 6-48); and October 25, 1999 (TX-117, 6-51)","0b0000648020ee6e"
"EPA-R05-OAR-2007-0405","Rulemaking","2011-06-12T21:28:04Z","EPA","Wisconsin Clean Air Interstate Rule submittal","0b000064802379cb"
"EPA-R06-OAR-2007-0603","Rulemaking","2011-06-12T21:28:05Z","EPA","LA017 Louisiana New Orleans Area Section 110(a)(1) Maintenance Plan as required by Phase I of the 8-hour Ozone Implementation Rule, Submitted to EPA June 29, 2007 (LA-95)","0b000064802644a0"
"EPA-R05-OAR-2007-1132","Rulemaking","2011-06-12T21:28:05Z","EPA","Minnesota Transport SIP addressing the requirements of part 110(a)(2)(D)","0b00006480364a60"
"EPA-R06-OAR-2007-0526","Rulemaking","2011-06-12T21:28:05Z","EPA","TX065 Texas Revisions to 30 TAC Chapter 115, Control of Air Pollution from Volatile Organic Compounds: Control of VOC Emissions from Storage and Degassing Operations in Houston-Galveston-Brazoria Area for the Eight-Hour Ozone Standard, submitted to EPA June 13, 2007 (TX-245, 5-85)","0b00006480254176"
"EPA-R05-OAR-2007-1100","Rulemaking","2011-06-12T21:28:05Z","EPA","Ohio I/M Shutdown","0b0000648035e863"
"EPA-R05-OAR-2007-1133","Rulemaking","2011-06-12T21:28:06Z","EPA","Lake & Porter Counties Indiana Clean data Finding for 1-hour Ozone NAAQS","0b00006480364a6c"
"EPA-R05-OAR-2007-1131","Rulemaking","2011-06-12T21:28:06Z","EPA","Illinois NOx SIP Call Phase II Rules","0b00006480364a54"
"EPA-R06-RCRA-2008-0757","Rulemaking","2011-06-12T21:28:07Z","EPA","Louisiana Part 271 Final Authorization of State Hazardous Waste Management Program Revisions","0b000064807317e3"
"EPA-R05-OAR-2009-0221","Rulemaking","2011-06-12T21:28:09Z","EPA","Cleveland, Ohio 8-hour Ozone Redesignation","0b0000648091b3aa"
"EPA-R05-OAR-2009-0290","Rulemaking","2011-06-12T21:28:09Z","EPA","Ohio Revisions to Rules 3745-15-01 and 3745-15-05","0b0000648096506d"
"EPA-R05-OAR-2009-0292","Rulemaking","2011-06-12T21:28:09Z","EPA","Revisions to Ohio VOC Rules, 3745-21","0b0000648096509f"
"EPA-R05-OAR-2009-0369","Rulemaking","2011-06-12T21:28:09Z","EPA","Aggregate Industries (JL Shiely) Minnesota PM10 revision","0b000064809c25f4"
"EPA-R06-RCRA-2009-0549","Rulemaking","2011-06-12T21:28:10Z","EPA","Hazardous Waste Management System; Identification and Listing of Hazardous Waste: Delisting Exclusion: Tokusen U.S.A., Conway, Arkansas","0b000064809f0c1f"
"EPA-R05-OAR-2010-0035","Rulemaking","2011-06-12T21:28:11Z","EPA","Rochester SO2 - Saint Mary's Hospital","0b00006480a7bac1"
"EPA-R05-OAR-2010-0449","Rulemaking","2011-06-12T21:28:12Z","EPA","Minnesota MCES-MWWTP PM10 SIP revision","0b00006480aece6b"
"EPA-R05-OAR-2009-0704","Rulemaking","2011-06-12T21:28:14Z","EPA","Indiana VOC RACT for Lake and Porter Counties","0b00006480a1f3ae"
"EPA-R05-OAR-2010-0675","Rulemaking","2011-06-12T21:28:14Z","EPA","Minnesota Lead: Gopher Resource, LLC","0b00006480b2915d"
"EPA-R05-OAR-2010-0657","Rulemaking","2011-06-12T21:28:14Z","EPA","Revisions to MI PSD Rules (Part 18)","0b00006480b22bd5"
"EPA-R10-OAR-2011-0315","Rulemaking","2011-06-12T21:28:16Z","EPA","Approval and Promulgation of Implementation Plans; Washington: Correction","0b00006480c081b2"
"EPA-R08-OAR-2005-UT-0005","Rulemaking","2011-06-12T21:33:15Z","EPA","Adequacy Determination for the Ogden City Area Carbon Monoxide Maintenance State Implementation Plan for Transportation Conformity Purposes; State of Utah","0b000064800a7888"
"EPA-R05-OAR-2004-OH-0001","Rulemaking","2011-06-12T21:33:15Z","EPA","Cincinnati 1-Hour Ozone Maintenance Plan Update - Ohio Portion","0b000064800a77e9"
"EPA-R06-OAR-2005-OK-0003","Rulemaking","2011-06-12T21:33:15Z","EPA","OK003 Oklahoma: National Emission Standards for Hazardous Air Pollutants; Delegation of Authority to Oklahoma Department of Environmental Quality","0b000064800a8f24"
"EPA-R05-OAR-2005-IL-0002","Rulemaking","2011-06-12T21:33:15Z","EPA","Lyons Township PM-10 Redesignation and Maintenance Plan","0b000064800a7617"
"EPA-R06-OAR-2005-TX-0016","Rulemaking","2011-06-12T21:33:15Z","EPA","TX022 Texas: Revision to 30 TAC Chapter 106, Air Permit by Rule, Study Phase I, Repeal of §106.5, Public Notice.","0b000064800a812c"
"EPA-R06-OAR-2005-NM-0001","Rulemaking","2011-06-12T21:33:15Z","EPA","NM004 New Mexico; Albuquerque/ Bernalillo County Limited Maintenance Plan (LMP) for Carbon Monoxide; Revisions to Part 1 (General Provisions), Part 100 (Vehicle Inspection  Decentralized), Part 102 (Oxygenated Fuels).","0b000064800a9464"
"EPA-R06-OAR-2005-LA-0001","Rulemaking","2011-06-12T21:33:15Z","EPA","LA003 Louisiana: Attainment Demonstration for the Shreveport-Bossier City Early Action Compact Area","0b000064800a963e"
"EPA-R06-OAR-2005-TX-0013","Rulemaking","2011-06-12T21:33:15Z","EPA","TX019 Texas Revisions to 30 TAC Chapter 101, General Air Quality Rules, System Cap Trading Rules, Submitted to EPA May 1, 2002 (TX-136, G-67) and August 16, 2007 (TX-252, G-84)","0b000064800a82b6"
"EPA-R06-OAR-2005-TX-0012","Rulemaking","2011-06-12T21:33:15Z","EPA","TX018 Texas Revisions to 30 TAC Chapter 101, General Air Quality Rules, RE Emissions Banking and Trading of Allowances","0b000064800a8319"
"EPA-R06-OAR-2005-TX-0015","Rulemaking","2011-06-12T21:33:15Z","EPA","TX021 Texas: Volatile Organic Compounds (VOC) Control for Gregg, Nueces, and Victoria Counties and the Beaumont/Port Arthur, Dallas/Fort Worth, El Paso, and Houston/ Galveston 1-hour Ozone Standard Nonattainment Areas","0b000064800a81c8"
"EPA-R05-OAR-2004-MI-0003","Rulemaking","2011-06-12T21:33:16Z","EPA","Detroit Area CO Maintenance Plan","0b000064800a78e3"
"EPA-R05-OAR-2005-MI-0001","Rulemaking","2011-06-12T21:33:16Z","EPA","Michigan NOx Exemptions","0b000064800a741b"
"EPA-R06-OAR-2005-TX-0026","Rulemaking","2011-06-12T21:33:16Z","EPA","TX032 Texas Revisions to 30 TAC Chapters 101, 106, and 116, Submitted to EPA July 22, 1998 (TX-104, 6-48); October 4, 2002 (TX-151, G-73, P-19, 6-61); and September 25, 2003 (TX-170,6-64) Concerning Inspection Fees, Emissions Fees, Air Permit, Renewal, and Amendment Fees; Offset Certification, New Source Review Permit Processes, and Extensions for Construction.","0b000064800a78aa"
"EPA-R05-OAR-2005-MN-0002","Rulemaking","2011-06-12T21:33:16Z","EPA","Amendment 7 to the Administrative Order for Flint Hills Resources","0b000064800a73bf"
"EPA-R06-OAR-2005-TX-0018","Rulemaking","2011-06-12T21:33:17Z","EPA","TX024 Texas: Revisions to Attainment Demonstration for Houston/ Galveston/ Brazoria (HGB) One-hour Ozone Nonattainment Area Adopting Strategy Based on NOx and Point Source Highly-Reactive VOC Emission  Reductions.","0b000064800a7f20"
"EPA-R06-OAR-2005-TX-0023","Rulemaking","2011-06-12T21:33:17Z","EPA","TX029 Texas G.H.3.  Mass Emissions Cap and Trade Program (MECT) Rules, Chapter 101, General Rules, §§101.350 to 101.363.","0b000064800a79a6"
"EPA-R05-OAR-2004-IN-0006","Rulemaking","2011-06-12T21:33:17Z","EPA","SIP Revisions to the PSD and Nonattainment Area NSR Construction Permit Programs","0b000064800a7954"
"EPA-R06-OAR-2005-TX-0021","Rulemaking","2011-06-12T21:33:18Z","EPA","TX027 Texas: Control of Air Pollution from Motor Vehicles, Mobile Source Incentive Programs: Texas Emission Reduction Plan (TERP)","0b000064800a7c78"
"EPA-R05-OAR-2004-IN-0003","Rulemaking","2011-06-12T21:33:20Z","EPA","Approval of Motor Vehicle Emission Budgets for Northwestern Indiana","0b000064800a7a91"
"EPA-R05-OAR-2004-IN-0002","Rulemaking","2011-06-12T21:33:20Z","EPA","Indiana Emission Reporting Requirements","0b000064800a7b17"
"EPA-R08-OAR-2005-0463","Rulemaking","2011-06-12T21:33:26Z","EPA","Approval and Promulgation of Air Quality Implementation Plans; State of Colorado; Denver Emergency Episode Plan Revisions.","0b000064800e932f"
"EPA-R05-OAR-2006-0003","Rulemaking","2011-06-12T21:33:26Z","EPA","Illinois Ozone SIP Revision Updating the Definition of VOM","0b0000648010722a"
"EPA-R06-OAR-2006-0357","Rulemaking","2011-06-12T21:33:26Z","EPA","TX046 Texas Section 110(a) (1) Maintenance Plan for the 1997 8-Hour Ozone Standard for El Paso County, submitted to EPA January 20, 2006 (TX-217, ELP SIP)","0b0000648015c10b"
"EPA-R05-OAR-2007-1043","Rulemaking","2011-06-12T21:33:27Z","EPA","Revision to Michigan PSD Rules","0b000064802fb891"
"EPA-R08-OAR-2006-0604","Rulemaking","2011-06-12T21:33:27Z","EPA","Approval of Revisions to the Administrative rules of South Dakota.","0b00006480193d97"
"EPA-R05-OAR-2006-0541","Rulemaking","2011-06-12T21:33:27Z","EPA","Michigan Gasoline Delivery Vessels","0b000064801896ae"
"EPA-R05-OAR-2006-0609","Rulemaking","2011-06-12T21:33:27Z","EPA","WI NSR Reform rules","0b00006480195938"
"EPA-R05-OAR-2006-0542","Rulemaking","2011-06-12T21:33:27Z","EPA","Wisconsin site-specific revision for Cook Composites and Polymers Co.","0b000064801896b8"
"EPA-R05-OAR-2006-0772","Rulemaking","2011-06-12T21:33:27Z","EPA","Amendment 8 to the Minnesota Administrative Order for Flint Hills Resources","0b000064801c3382"
"EPA-R05-OAR-2006-0774","Rulemaking","2011-06-12T21:33:27Z","EPA","Revisions to Indiana's Emission Reporting Requirements (326 IAC 2-6)","0b000064801c339b"
"EPA-R05-OAR-2007-0390","Rulemaking","2011-06-12T21:33:28Z","EPA","Ohio CAIR Rules","0b00006480233c3f"
"EPA-R06-OAR-2006-1029","Rulemaking","2011-06-12T21:33:28Z","EPA","TX055 Texas Chapter 115 revisions: Reasonably Available Control Technology (RACT) for Dallas-Fort Worth (DFW) Nonattainment Area Under the Eight-Hour Ozone Designation, submitted to EPA December 13, 2006 (TX-230, 5-84)","0b000064801f0d42"
"EPA-R05-OAR-2007-0587","Rulemaking","2011-06-12T21:33:29Z","EPA","Wisconsin NOx RACT Rules – NR 428","0b0000648025ba94"
"EPA-R05-OAR-2007-1085","Rulemaking","2011-06-12T21:33:29Z","EPA","Ohio NOx SIP Call Phase II","0b00006480358e2d"
"EPA-R05-OAR-2007-0653","Rulemaking","2011-06-12T21:33:29Z","EPA","Metro East/St Louis, Illinois 8-Hour Ozone Attainment Demonstration","0b0000648026cab4"
"EPA-R08-OAR-2007-0656","Rulemaking","2011-06-12T21:33:29Z","EPA","Approval and Promulgation of Air Quality Implementation Plans; State of South Dakota; Revisions to the Administrative Rules of South Dakota","0b0000648026d85d"
"EPA-R05-OAR-2007-1134","Rulemaking","2011-06-12T21:33:30Z","EPA","Michigan Consumer Products Rules","0b00006480364abc"
"EPA-R05-OAR-2008-0683","Rulemaking","2011-06-12T21:33:31Z","EPA","1-hr Ozone Finding of Attainment for the Milwaukee-Racine area","0b000064806f0906"
"EPA-R05-OAR-2008-0786","Rulemaking","2011-06-12T21:33:31Z","EPA","Minnesota Gerdau Ameristeel PM10 SIP revision","0b0000648075e7a2"
"EPA-R06-RCRA-2008-0753","Rulemaking","2011-06-12T21:33:31Z","EPA","New Mexico Part 272 Hazardous Waste Management Incorporation by Reference.","0b0000648073175d"
"EPA-R05-OAR-2008-0783","Rulemaking","2011-06-12T21:33:32Z","EPA","SIGECO/Vectren in Warrick County IN","0b0000648075439a"
"EPA-R06-OAR-2008-0815","Rulemaking","2011-06-12T21:33:32Z","EPA","NM030 New Mexico State Revisions to 20.2.7 NMAC (Part 7) - Excess Emissions, Submitted to EPA October 7, 2008 (NM-85)","0b000064807880f1"
"EPA-R05-OAR-2009-0515","Rulemaking","2011-06-12T21:33:33Z","EPA","Indiana CAIR Amendments, 326 IAC 24","0b000064809ec344"
"EPA-R05-OAR-2009-0664","Rulemaking","2011-06-12T21:33:35Z","EPA","PM 2.5 Clean Data Determinations for Chicago and Evansville","0b00006480a0f091"
"EPA-R05-OAR-2010-0034","Rulemaking","2011-06-12T21:33:37Z","EPA","PM 2.5 Clean Data Determination for Saint Louis","0b00006480a7b9a3"
"EPA-R08-OAR-2005-CO-0001","Rulemaking","2011-06-12T21:33:41Z","EPA","Approval and Promulgation of Air Quality Implementation Plans; State of Colorado; Denver Early Action Compact Ozone Plan, Attainment Demonstration of the 8-hour Ozone Standard, and Approval of Related Revisions","0b000064800a7f95"
"EPA-R06-OAR-2005-TX-0009","Rulemaking","2011-06-12T21:33:41Z","EPA","TX015 Texas: Clean Air Action Plan and Attainment Demonstration for the Northeast Texas Early Action Compact Area; Agreed Orders Regarding Control of Air Pollution for the Northeast Texas Area","0b000064800a86f5"
"EPA-R06-OAR-2005-TX-0019","Rulemaking","2011-06-12T21:38:03Z","EPA","TX025 Texas: Agreed Orders in the Beaumont / Port Arthur Ozone Nonattainment Area.","0b000064800a7ebd"
"EPA-R08-OAR-2004-CO-0005","Rulemaking","2011-06-12T21:38:03Z","EPA","Clean Air Act Approval and Promulgation of Air Quality Implementation Plan Revision for Colorado; Long-Term Strategy of State Implementation Plan for Class I Visibility Protection","0b000064800a82dd"
"EPA-R05-OAR-2004-MI-0002","Rulemaking","2011-06-12T21:38:04Z","EPA","Satisfaction of the NOx SIP Conditional Approval","0b000064800a7902"
"EPA-R06-OAR-2004-TX-0014","Rulemaking","2011-06-12T21:38:04Z","EPA","TX006 Texas: Rules for the Control of Highly Reactive Volatile Organic Compounds in the Houston/Galveston (HGA) Ozone Nonattainment Area","0b000064800a9834"
"EPA-R06-OAR-2005-TX-0006","Rulemaking","2011-06-12T21:38:04Z","EPA","TX012 Texas G.H.1:  Emission Credit Banking and Trading (ERC) Rules, Chapter 101, General Rules, §§101.300 to 101.311.","0b000064800a8a87"
"EPA-R05-OAR-2004-IN-0007","Rulemaking","2011-06-12T21:38:04Z","EPA","PM and SO2 Emission Limit Revisions for Pfizer, Inc.","0b000064800a7931"
"EPA-R05-OAR-2004-IN-0005","Rulemaking","2011-06-12T21:38:04Z","EPA","Rules to Control PM and CO Emissions from Incinerators","0b000064800a7963"
"EPA-R06-OAR-2005-TX-0011","Rulemaking","2011-06-12T21:38:04Z","EPA","TX017 Texas: Attainment Demonstration for the Austin Early Action Compact Area; Vehicle Inspection and Maintenance Program for Travis and Williamson Counties","0b000064800a83c5"
"EPA-R06-OAR-2005-LA-0003","Rulemaking","2011-06-12T21:38:04Z","EPA","LA005 Louisiana, Revision to Transportation Conformity SIP submitted to EPA May 9, 2005 (LA-77).","0b000064800a95eb"
"EPA-R05-OAR-2005-OH-0004","Rulemaking","2011-06-12T21:38:05Z","EPA","Cincinnati 1-Hour Ozone Redesignation, Maintenance Plan, Motor Vehicle Emission Budgets and VOC Rules","0b000064800a72a0"
"EPA-R05-OAR-2005-WI-0002","Rulemaking","2011-06-12T21:38:05Z","EPA","Serigraph, Inc VOC revisions in Washington County, Wisconsin","0b000064800a726e"
"EPA-R06-OAR-2006-0271","Rulemaking","2011-06-12T21:38:15Z","EPA","LA008 Louisiana Grant Parish, Beauregard  Parish, and St Mary Parish Section 110(a)(1) Maintenance Plans","0b00006480145a5a"
"EPA-R05-OAR-2006-0012","Rulemaking","2011-06-12T21:38:15Z","EPA","Minnesota Alternative Public Participation Processes for Certain Plan Revisions","0b000064801083b5"
"EPA-R06-OAR-2006-0569","Rulemaking","2011-06-12T21:38:16Z","EPA","NM014 New Mexico Albuquerque/ Bernalillo County Amendments to Part 102 (20.11.102 NMAC), Oxygenated Fuels, submitted to EPA May 24, 2006 (NM-66).","0b0000648018d5ab"
"EPA-R05-OAR-2006-0539","Rulemaking","2011-06-12T21:38:16Z","EPA","Indiana 2004 CFR Update","0b00006480189693"
"EPA-R05-OAR-2006-0610","Rulemaking","2011-06-12T21:38:16Z","EPA","IN Amendment to PM Definition","0b0000648019594c"
